Elapsed Time (s),m=15,m=16,m=17,m=18,m=20,m=22,m=28,m=32,m=40,m=44
00:20:45.17,3.09e-10,7.65e-13,6.94e-14,5.74e-14,1.03e-10,4.5e-13,8.13e-14,1.28e-13,3.27e-13,4.38e-14
00:20:52.67,3.09e-10,7.64e-13,4.31e-14,5.74e-14,1.03e-10,4.45e-13,8.64e-14,1.41e-13,3.41e-13,4.28e-14
00:21:00.17,3.08e-10,7.87e-13,4.31e-14,5.08e-14,1.03e-10,4.79e-13,7.85e-14,1.21e-13,3.22e-13,3.27e-14
00:21:07.67,3.09e-10,7.87e-13,5.26e-14,5.16e-14,1.03e-10,4.51e-13,7.84e-14,1.12e-13,3.34e-13,3.78e-14
00:21:15.17,3.09e-10,7.86e-13,4.75e-14,5.71e-14,1.03e-10,4.46e-13,6.06e-14,1.06e-13,3.55e-13,3.92e-14
00:21:22.67,3.09e-10,7.9e-13,4.94e-14,4.43e-14,1.03e-10,4.46e-13,7.47e-14,1.08e-13,3.4e-13,3.93e-14
00:21:30.17,3.07e-10,8.05e-13,4.89e-14,4.17e-14,1.03e-10,4.45e-13,7.7e-14,1.31e-13,3.6e-13,3.39e-14
00:21:37.67,3.09e-10,7.75e-13,5.8e-14,4.71e-14,1.03e-10,4.43e-13,8.3e-14,1.12e-13,3.2e-13,2.64e-14
00:21:45.17,3.09e-10,8.06e-13,3.94e-14,6.22e-14,1.03e-10,4.42e-13,7.82e-14,1.03e-13,3.21e-13,4.99e-14
00:21:52.67,3.07e-10,8.05e-13,4.99e-14,4.71e-14,1.03e-10,4.28e-13,6.96e-14,1.29e-13,3.22e-13,4.54e-14
00:22:00.17,3.08e-10,8.01e-13,4.75e-14,4.85e-14,1.03e-10,4.69e-13,6.41e-14,1.28e-13,3.37e-13,4.52e-14
