36,000:04:22.546,2023/12/19  12:53:46:546 ,1962.025269,1.3607595,1.00E-99,3.33E-10,8.20E-13,5.50E-14,4.63E-14,1.08E-10,4.86E-13,1.91E-13,6.07E-13,2.27E-12,1.48E-13,3.62E-14,1.86E-09,1.29E-12,9.48E-13,1.00E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
37,000:04:30.046,2023/12/19  12:53:54:46 ,1962.025269,1.2236286,1.00E-99,3.33E-10,8.71E-13,5.51E-14,4.66E-14,1.08E-10,4.49E-13,1.89E-13,6.00E-13,2.22E-12,1.43E-13,4.50E-14,1.86E-09,1.16E-12,9.48E-13,1.11E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
38,000:04:37.546,2023/12/19  12:54:1:546 ,2037.239868,1.2705367,1.00E-99,3.33E-10,8.26E-13,4.90E-14,5.38E-14,1.07E-10,4.46E-13,2.06E-13,5.84E-13,2.17E-12,1.22E-13,3.82E-14,1.86E-09,1.16E-12,9.13E-13,1.06E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
39,000:04:45.046,2023/12/19  12:54:9:46 ,2219.570313,1.1789976,1.00E-99,3.32E-10,8.38E-13,5.95E-14,5.74E-14,1.07E-10,4.52E-13,1.94E-13,5.62E-13,2.14E-12,1.33E-13,5.77E-14,1.86E-09,9.88E-13,8.38E-13,8.55E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
40,000:04:52.546,2023/12/19  12:54:16:546 ,2369.426758,1.1477706,1.00E-99,3.32E-10,7.78E-13,5.45E-14,4.99E-14,1.07E-10,4.94E-13,1.70E-13,5.87E-13,2.07E-12,1.10E-13,5.77E-14,1.86E-09,9.01E-13,7.85E-13,1.13E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
41,000:05:00.046,2023/12/19  12:54:24:46 ,2431.011963,1.0972404,1.00E-99,3.32E-10,8.45E-13,3.82E-14,4.84E-14,1.07E-10,4.99E-13,1.73E-13,5.51E-13,2.04E-12,1.07E-13,4.30E-14,1.85E-09,8.35E-13,7.61E-13,8.82E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
42,000:05:07.546,2023/12/19  12:54:31:546 ,2500,1.05,1.00E-99,3.31E-10,8.20E-13,5.30E-14,5.10E-14,1.07E-10,4.86E-13,1.91E-13,5.34E-13,2.00E-12,1.07E-13,3.90E-14,1.85E-09,7.77E-13,7.40E-13,1.03E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
43,000:05:15.046,2023/12/19  12:54:39:46 ,2651.296875,1.0461096,1.00E-99,3.30E-10,8.23E-13,4.54E-14,5.09E-14,1.07E-10,4.58E-13,1.68E-13,5.47E-13,2.00E-12,9.71E-14,4.02E-14,1.84E-09,7.26E-13,6.94E-13,8.32E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
44,000:05:22.546,2023/12/19  12:54:46:546 ,2650.429932,1.0085961,1.00E-99,3.31E-10,8.31E-13,5.71E-14,5.15E-14,1.07E-10,4.61E-13,1.54E-13,5.47E-13,1.94E-12,9.12E-14,4.03E-14,1.85E-09,7.04E-13,6.98E-13,9.68E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
45,000:05:30.046,2023/12/19  12:54:54:46 ,2991.869873,1.1300813,1.00E-99,3.30E-10,8.17E-13,6.69E-14,6.01E-14,1.07E-10,5.19E-13,1.54E-13,5.14E-13,1.88E-12,8.85E-14,4.31E-14,1.84E-09,6.95E-13,6.15E-13,9.80E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
46,000:05:37.546,2023/12/19  12:55:1:546 ,2987.013184,1.0827922,1.00E-99,3.29E-10,8.28E-13,6.56E-14,4.70E-14,1.07E-10,5.19E-13,1.77E-13,4.99E-13,1.81E-12,8.46E-14,2.93E-14,1.84E-09,6.67E-13,6.16E-13,6.83E-14,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
47,000:05:45.046,2023/12/19  12:55:9:46 ,3097.643066,1.0622896,1.00E-99,3.30E-10,8.58E-13,6.08E-14,5.59E-14,1.07E-10,4.88E-13,1.39E-13,4.55E-13,1.77E-12,9.87E-14,3.17E-14,1.84E-09,6.31E-13,5.94E-13,1.19E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
48,000:05:52.546,2023/12/19  12:55:16:546 ,3139.931885,1.0426621,1.00E-99,3.29E-10,8.29E-13,5.40E-14,5.59E-14,1.06E-10,4.62E-13,1.51E-13,4.78E-13,1.75E-12,8.57E-14,5.03E-14,1.84E-09,6.11E-13,5.86E-13,1.24E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
49,000:06:00.046,2023/12/19  12:55:24:46 ,3485.714111,1.1447618,1.00E-99,3.27E-10,8.26E-13,5.40E-14,4.45E-14,1.06E-10,5.00E-13,1.36E-13,4.81E-13,1.67E-12,6.67E-14,3.39E-14,1.83E-09,6.01E-13,5.25E-13,1.02E-13,1.00E-99,1.00E-99,1.00E-99,1.00E-99,1.00E-99
